aquela, [saudade];
branquejando, [folhas];
ca, [da];
chao, [este];
cidade, [tao];
como, [esse, esse, esse, esse];
da, [minha, cidade];
do, [sertao, sertao, luar, luar, sertao, sertao, sertao];
escuro, [nao];
esse, [do, do, do, do];
este, [luar];
folhas, [secas];
gente, [o, o, o, o];
ha, [o, o, o, o];
la, [na, do];
luar, [como, como, da, ca, la, como, como];
minha, [terra];
na, [serra];
nao, [ha, luar, ha, luar, tem, ha, luar, ha, luar];
o, [gente, nao, gente, nao, gente, nao, gente, nao];
oh, [que];
pelo, [chao];
que, [saudade];
saudade, [do, do];
secas, [pelo];
serra, [branquejando];
sertao, [nao, oh, nao, nao];
tao, [escuro];
tem, [aquela];
terra, [la];
